Gemma ID,External ID,Study Description,Number of Samples,Study Category,Condition Description,Control Description,Number of DE genes,Funding Source,DE Prior AUROC (Fig 2),CXCL8 DE,Sex (Fig 3),Immunity (Fig 3),Funding Prior AUROC (Fig 4),"DE Prior AUROC (222 subset, Fig 4)",Cluster Prior AUROC (Fig 4),NIGMS sepsis or trauma (Fig 4),Max GO term (Fig 4),Max GO AUROC (Fig 4)
RSCID.459463.68786,GSE19826,Expression data from gastric cancer,27,cell type,Stomach Carcinoma,reference subject role,116,NA,0.837,no,no,no,NA,NA,0.877,no,GO:0042592,0.549
RSCID.465316.121216,GSE19860,Prediction of response to FOLFOX,29,phenotype,FOLFOX6; sensitive toward,FOLFOX6; resistant to,1,NA,0.944,no,no,no,NA,NA,NA,no,GO:0006656,0.999
RSCID.459967.110965,GSE19864,"Gene expression profiles after RNAi-mediated suppression of RB, p107 or p130 in growing, quiescent or ras-induced senescent IMR90 cells",22,growth condition,growing,ras-senescent,121,NA,0.937,yes,no,no,NA,NA,NA,no,GO:0007049,0.646
RSCID.457358.68354,GSE19902,Comparative expression profiles of human embryonic stem cells among different feeders and conditioned media,4,treatment,feeder-free Matrigel in T3HDF-conditioned medium,MEF feeder,206,NA,0.838,no,no,no,NA,NA,0.554,no,GO:1903507,0.578
RSCID.459334.64935,GSE19982,Gene expression discriminates chromophobe renal cell carcinoma and oncocytoma,30,disease,oncocytoma of kidney,classic variant of chromophobe renal cell carcinoma,32,NA,0.864,no,no,no,NA,NA,0.583,no,GO:0022857,0.575
RSCID.461547.72413,GSE20124,Transcriptome analysis of human Whartonâ€™s jelly stem cells: in-house analysis,8,timepoint,passage 20,passage 3,396,NA,0.874,no,no,no,NA,NA,0.9,no,GO:0051270,0.541
RSCID.461582.72433,GSE20125,Transcriptome analysis of human Whartonâ€™s jelly stem cells: meta-analysis,18,cell type,mesenchymal stem cell of Wharton's jelly,Detroit 551 cell; fibroblast,312,NA,0.862,yes,no,no,NA,NA,0.876,no,GO:0040011,0.542
RSCID.460597.34061,GSE20141,Expression analysis of laser-dissected SNpc neurons in Parkinson's disease,18,disease,Parkinson's disease,reference subject role,542,NINDS NIH HHS,0.513,no,no,no,0.492,0.51,0.501,no,GO:0006955,0.518
RSCID.459338.64884,GSE20196,Gene expression profile of poorly differentiated synovial sarcoma,26,disease,monophasic sarcoma of the synovium,poorly differentiated,112,NA,0.9,no,no,no,NA,NA,0.764,no,GO:0040011,0.589
RSCID.459496.68548,GSE20211,LMP-420: a novel purine nucleoside analogue with potent cytotoxic effects for chronic lymphocytic leukemia cells,26,treatment,LMP-420,reference subject role,3,NA,0.993,no,no,no,NA,NA,0.999,no,GO:0048646,0.822
RSCID.450664.68843,GSE20266,Salivary Transcriptomic and Proteomic Biomarkers for Breast Cancer Detection,20,disease,Breast Carcinoma,reference subject role,136,NCI NIH HHS,0.511,no,no,no,0.515,0.518,0.534,no,GO:0006511,0.533
RSCID.457297.68917,GSE20436,Expression data from Gambian children with and without the clinical signs of active trachoma: U133 Plus2.0 array,60,disease,Chlamydia trachomatis infectious disease,reference subject role,67,NA,0.889,no,no,no,NA,NA,0.531,no,GO:1901700,0.58
RSCID.459439.96343,GSE20489,Microarray characterization of gene expression changes in blood during acute ethanol exposure,54,treatment,alcohol,reference subject role,5615,NA,0.545,no,no,no,NA,NA,0.536,no,GO:2000113,0.508
RSCID.457288.69684,GSE20505,Expression data from CD34+ hematopoietic progenitor cells,18,treatment,British,French,4,NA,0.942,no,no,no,NA,NA,0.83,no,GO:0044057,0.865
RSCID.459499.70508,GSE20538,Gene expression profiles of fibroblasts from MCT8 patients,20,genetic modification,"SLC16A2 [human] solute carrier family 16, member 2 (monocarboxylic acid transporter 8)",reference subject role,4,NA,0.883,no,no,no,NA,NA,NA,no,GO:0008047,0.739
RSCID.457260.70276,GSE20667,The Notch/Hes1 pathway sustains NF-kB activation through CYLD repression in T cell leukemia,20,treatment,IKK? Nemo binding domain (NBD) inhibitory peptide,reference subject role,2,NCI NIH HHS,0.944,no,no,no,0.9,0.944,0.75,no,GO:0033006,0.749
RSCID.457200.65193,GSE20854,EGFR Isoforms and Gene Regulation in Human Endometrial Cancer Cells,24,cell line,Ishikawa,Hec50co,1062,NCI NIH HHS,0.812,yes,no,no,0.798,0.795,0.846,no,GO:0051270,0.526
RSCID.457264.71423,GSE20916,Modeling oncogenic signaling in colon tumors by multidirectional analyses of microarray data,145,block,macro,micro,563,NA,0.678,yes,no,no,NA,NA,0.563,no,GO:0030054,0.551
RSCID.450568.70564,GSE20948,The Effect of Hepatitis C Virus Infection on Host Gene Expression,28,treatment,Mock infected,JFH-1 infected,3,NA,0.979,no,no,no,NA,NA,0.666,no,GO:0044711,0.807
RSCID.459305.76184,GSE21029,"The lymph node microenvironment promotes B-cell receptor signaling, NF-?B activation, and tumor proliferation in chronic lymphocytic leukemia (CLL)",45,organism part,Peripheral blood cell,bone marrow,4,Intramural NIH HHS,0.987,no,no,no,0.724,0.978,1,no,GO:0031406,0.831
RSCID.459023.82673,GSE2125,isolated alveolar macrophages,30,individual,macrophage; status asthmaticus,Smoking; macrophage,20,NHLBI NIH HHS,0.932,no,no,no,0.677,0.907,NA,no,GO:0030334,0.616
RSCID.458423.95613,GSE21270,Genome-wide screening of temporal responsive genes induced by a low concentration of the carcinogen N-methyl-N'-nitro-N-nitrosoguanidine in a normal human cell line,18,treatment,dimethyl sulfoxide,N-methyl-N'-nitro-N-nitrosoguanidine,6,NA,0.933,no,no,no,NA,NA,0.799,no,GO:1902893,0.583
RSCID.449124.76188,GSE21293,"Periostin, a cell adhesion molecule, facilitates invasion in the tumor microenvironment and annotates a novel tumor invasive signature in esophageal cancer",35,phenotype,invasive: No,invasive: Yes,185,NIDDK NIH HHS,0.854,no,no,no,0.563,0.843,0.668,no,GO:0006952,0.526
RSCID.457170.77522,GSE21477,Gene Expression Changes in Primary Human Nasal Epithelial Cells exposed to Formaldehyde in vitro,39,treatment,1x,4x,536,NA,0.885,yes,no,no,NA,NA,0.907,no,GO:0009888,0.557
RSCID.456981.40041,GSE21497,"Common Gene Transcriptional Patterns Following Immobilization, Spinal Cord Injury, and Unloading in Human Skeletal Muscle",20,timepoint,2 days,5 days,4,NICHD NIH HHS,0.768,no,no,no,0.634,0.598,0.487,no,GO:0099512,0.862
RSCID.457423.70737,GSE21510,Clinical Significance of Osteoprotegerin Expression in Human Colorectal Cancer,148,disease,Colorectal Cancer,reference subject role,501,NA,0.846,yes,no,no,NA,NA,0.825,no,GO:0022402,0.529
RSCID.459925.112489,GSE21545,Biobank of Karolinska Endarterectomy (BiKE),223,cell type,Plaque,mononuclear cell,1698,NA,0.857,no,no,no,NA,NA,0.86,no,GO:0040011,0.538
RSCID.448990.77528,GSE21610,Gene expression analysis in non-failing and failing myocardium pre and post pulsatile and non-pulsatile VAD support,38,disease staging,Heart failure,reference subject role,55,NA,0.784,no,no,no,NA,NA,0.627,no,GO:0006955,0.567
RSCID.460510.70016,GSE21723,Expression profiling of vascular endothelial cells using minimal input material,64,sex,female,male,26,NA,0.658,no,no,no,NA,NA,0.592,no,GO:0048471,0.562
RSCID.457128.67686,GSE21858,Patterns of gene expression and evolution in the human developing cerebral cortex,8,timepoint,17 gestational weeks,19 gestational weeks,24,NIGMS NIH HHS,0.804,no,no,no,0.637,0.764,0.724,no,GO:0010638,0.562
RSCID.449691.64878,GSE21912,The Polycomb Group Protein Bmi-1 is essential for the growth of Multiple Myeloma cells,21,treatment,reference substance role,doxycycline; reference substance role,1,NA,0.336,no,no,no,NA,NA,NA,no,NA,NA
RSCID.461530.76038,GSE21935,Comparison of post-mortem tissue from Brodman Brain BA22 region between schizophrenic and control patients,42,sex,female,male,5,NA,1,no,yes,no,NA,NA,1,no,GO:0060765,0.624
RSCID.440650.70713,GSE21942,Expression data from peripheral blood mononuclear cells in multiple sclerosis patients and controls,29,disease,Multiple Sclerosis,reference subject role,39,NA,0.895,yes,no,yes,NA,NA,NA,no,GO:0006928,0.554
RSCID.465235.122009,GSE21979,Transcriptional and post-transcriptional regulation of VEGF by the unfolded protein response,4,timepoint,8 h,initial time point,408,NCI NIH HHS,0.584,yes,no,no,0.555,0.571,0.506,no,GO:0007186,0.529
RSCID.459926.101717,GSE22038,Gene expression following epigenetic drug treatment,14,treatment,z-aza-DC + TSA,reference substance role,126,NA,0.836,no,no,no,NA,NA,NA,no,GO:0009888,0.538
RSCID.459398.76975,GSE22138,Expression Data from Uveal Melanoma primary tumors.,63,sex,male,female,4,NA,1,no,yes,no,NA,NA,1,no,GO:0060765,0.666
RSCID.439639.70627,GSE22224,Comparative Transcriptional and Phenotypic Peripheral Blood Analysis of Kidney Recipients under Cyclosporin A or Sirolimus Monotherapy,32,treatment,sirolimus inhibitor,reference subject role,28,NA,0.886,no,no,yes,NA,NA,0.5,no,GO:0043168,0.585
RSCID.439633.70261,GSE22377,mRNA expression data from human adenocarcinomas of the stomach,43,disease,intestinal adenocarcinoma of the stomach,diffuse adenocarcinoma of the stomach,227,NA,0.885,yes,no,no,NA,NA,NA,no,GO:0031012,0.554
RSCID.449049.40210,GSE22513,Markers of Taxane Sensitivity in Breast Cancer,28,phenotype,pathological complete response: no,pathological complete response: yes,90,NA,0.826,no,no,no,NA,NA,0.604,no,GO:0060548,0.547
RSCID.455515.75287,GSE22541,Expression data from pulmonary metastases and primary tumors of clear-cell renal cell carcinoma (ccRCC) with different disease-free survivals,68,disease,pulmonary metastasis of clear-cell renal cell carcinoma,primary clear-cell renal cell carcinoma,8450,NA,0.524,no,no,no,NA,NA,NA,no,GO:0070727,0.524
RSCID.439635.70342,GSE22563,Identification of TSGs Frequently Methylated in Renal Cell carcinoma (expression profiles of Renal cell lines following  de-methylation),22,treatment,5-Aza-2'-deoxycytidine,reference subject role,161,NA,0.769,no,no,no,NA,NA,0.55,no,GO:0022414,0.544
RSCID.466665.123667,GSE22707,Absence of significant overlap in transcriptional patterns between operationally  tolerant liver and kidney recipients,48,treatment,transplantation; kidney,reference subject role,3,NA,0.919,no,no,no,NA,NA,NA,no,GO:0045429,0.999
RSCID.439622.70493,GSE22845,"Gene expression profiling of CEBPA double-, single-mutant and CEBPA wild type AML",149,genetic modification,CEBPA wild-type; acute myeloid leukemia,CEBPA double-mutant; acute myeloid leukemia,182,NA,0.84,no,no,no,NA,NA,0.573,no,GO:0051240,0.543
RSCID.457875.86413,GSE22875,OTX2 drives medulloblastoma proliferation via direct regulation of cell cycle genes and inhibits differentiation,24,treatment,shRNA; silenced_gene; OTX2 [human] orthodenticle homeobox 2,reference substance role,26,NA,0.876,no,no,no,NA,NA,0.544,no,GO:0044432,0.562
RSCID.456999.40114,GSE23073,Transcriptome profiling of genes regulated by RXR and its partners in monocyte-derived dendritic cells,12,individual,donor 1,donor 2,12,NA,0.893,no,no,no,NA,NA,NA,no,GO:0009986,0.623
RSCID.449947.75841,GSE23120,Basal gene expression data from Human Variation Panel,191,population,Han Chinese-American,African-American,3,NIGMS NIH HHS,0.929,no,no,no,0.592,0.902,0.659,no,GO:0005501,0.749
RSCID.460053.100668,GSE23194,Mucosal biopsies from groups Normal (NOR) and patients who underwent curative large bowel resection for colorectal cancer  (M-CRC),17,clinical history,curative large bowel resection for CRC,reference subject role,4,NA,0.826,no,no,no,NA,NA,0.622,no,GO:0016229,0.749
RSCID.439575.69433,GSE23293,Definition and characterization of the systemic T cell dysregulation in untreated indolent B cell lymphoma and very early CLL,24,disease,follicular/extranodal marginal zone lymphomas,reference subject role,11,NA,0.867,no,no,no,NA,NA,0.64,no,GO:0006935,0.705
RSCID.459389.69087,GSE23376,Gene expression data from stage IV melanoma patients,14,sex,male,unknown sex,16,NA,0.542,no,no,no,NA,NA,0.505,no,GO:1902533,0.586
RSCID.459932.111439,GSE23394,Expression data from human NHL cell lines treated with agonistic antibodies,48,cell line,REC-1,SU-DHL4,991,NA,0.777,no,no,no,NA,NA,0.811,no,GO:0006955,0.525
RSCID.459411.70512,GSE23501,DNA methylation signatures define molecular subtypes of Diffuse Large B Cell Lymphoma,69,sex,male,female,6,NCI NIH HHS,1,no,yes,no,0.999,0.999,1,no,GO:0060765,0.599
RSCID.466845.124114,GSE23553,Gene expression changes with induction of in-vitro platinum-resistance in ovarian cancer cell lines.,16,treatment,3 x 3 ug/mL; cisplatin,reference substance role,29,NCI NIH HHS,0.696,no,no,no,0.616,0.7,0.55,no,GO:0031967,0.589
RSCID.440032.69413,GSE23583,Highly efficient reprogramming to pluripotency and directed differentiation using synthetic mRNA,22,cell type,fibroblast,RNA; pluripotent stem cell,2100,NA,0.79,yes,no,no,NA,NA,0.833,no,GO:0007049,0.526
RSCID.434792.76987,GSE23593,Intratumor Heterogeneity and Precision of Microarray-Based Predictors of Breast Cancer Biology and Clinical Outcome,50,clinical history,progesterone receptor status: PR(-),progesterone receptor status: PR(+),15,NCI NIH HHS,0.833,no,no,no,0.836,0.84,0.6,no,GO:0048699,0.611
RSCID.441046.75871,GSE23604,ECP mediated monocyte to DC differentiation,23,timepoint,post-ECP,pre-ECP,503,NCI NIH HHS,0.824,yes,no,no,0.787,0.812,NA,no,GO:0006955,0.55
RSCID.448900.40182,GSE23687,Expression data from SPARKS CHARMS JIA cohort,22,treatment,methotrexate,reference substance role,14,NA,0.849,no,no,no,NA,NA,0.686,no,GO:0005694,0.634
RSCID.442153.69057,GSE23806,"Expression data of glioblastoma stem-like (GS) cell lines, conventional glioma cell lines and primary tumors",59,cell line,glioblastoma stem-like cell line,Glioma,1084,NA,0.814,yes,no,no,NA,NA,0.836,no,GO:0045595,0.538
RSCID.456988.40091,GSE23878,Genome Wide Expression Analysis of Middle Eastern Colorectal Cancer Reveals FOXM1 as a Novel Target for Cancer Therapy,59,disease,Colorectal Cancer,reference subject role,185,NA,0.927,yes,no,no,NA,NA,0.928,no,GO:0009719,0.553
RSCID.446746.82767,GSE2397,LJMJDW: Cellular responses to 4-hydroxy-2-nonenal,24,timepoint,24 h,6 h,38,NCI NIH HHS,0.568,no,no,no,0.563,0.599,0.542,no,GO:0030029,0.551
RSCID.434856.69010,GSE23994,A molecular signature of normal breast epithelial and stromal cells from Li-Fraumeni syndrome mutation carriers,24,cell type,stromal cell,epithelial cell,2536,NCI NIH HHS,0.776,no,no,no,0.764,0.765,0.835,no,GO:0009888,0.528
RSCID.427433.70622,GSE24223,Deconvoluting Early Post-Transplant Immunity Using Purified Cell Subsets Reveals Functional Networks Not Evident by Whole Blood Analysis,102,cell type,CD14,blood,1030,NIAID NIH HHS,0.692,yes,no,no,0.627,0.679,0.663,no,GO:0002684,0.523
RSCID.434829.70364,GSE24235,Skeletal muscle gene expression in response to resistance exercise: sex specific regulation,28,sex,female,male,7,NINDS NIH HHS,0.997,no,yes,no,0.911,0.993,0.9,no,GO:0060765,0.599
RSCID.448814.38919,GSE24265,Expression data from human brain samples,11,sex,male,female,5,NA,0.998,no,yes,no,NA,NA,1,no,GO:0016577,0.749
RSCID.439511.70390,GSE24337,The Human Airway Epithelial Basal Cell Transcriptome,23,cell type,undifferentiated cell; inflammatory cell; ciliated cell; epithelial cell; secretory cell; basal cell,basal cell,3458,NHLBI NIH HHS,0.696,no,no,no,0.562,0.693,0.715,no,GO:0006928,0.525
RSCID.434712.70433,GSE24362,Epstein Barr virus Nuclear Antigen 3C regulated genes in Lymphoblastoid Cell Lines,22,cell line,LCL C19,LCL C15,55,NA,0.885,no,no,no,NA,NA,0.568,no,GO:0009986,0.575
RSCID.439516.68981,GSE24422,Effect of insulin on the stromal and adipocyte cells within hMSC derived adipocytes,24,treatment,Insulin,reference subject role,9,NA,0.929,no,no,no,NA,NA,0.729,no,GO:0042981,0.694
RSCID.440876.75323,GSE24468,Elucidation of the Mechanisms by which the Progesterone Receptor Inhibits Inflammatory Responses in Cellular Models of Breast Cancer,20,treatment,PR agonist R5020,reference subject role,159,NICHD NIH HHS,0.873,yes,no,no,0.689,0.869,0.876,no,GO:0043067,0.564
RSCID.458053.83485,GSE24547,Transcriptional pathway signatures for the Aurora inhibitor Danusertib,20,treatment,Danusertib; 24 hours; 1 uM,Untreated; reference subject role,1,NA,0.906,no,no,no,NA,NA,0.987,no,GO:0070265,0.999
RSCID.459560.70333,GSE24739,Gene expression differences between highly enriched normal and chronic myelogenous leukemia quiescent stem/progenitor cells and correlations with biological abnormalities,24,timepoint,G1 phase of cell cycle,G0 phase of cell cycle,51,NA,0.899,no,no,no,NA,NA,0.481,no,GO:0006955,0.595
RSCID.439503.70766,GSE24795,Gene Expression differences between replication error deficient and proficient colorectal cancers: the dominant role of deletions in 3â€™UTR poly T sequences,30,cell line,replication error deficient,replication error proficient,13,NA,0.815,no,no,no,NA,NA,0.579,no,GO:0071248,0.613
RSCID.457133.74173,GSE24810,Dissecting the signalling pathways underlying cellular senescence,9,treatment,"38Â°C, 7 days",38Â°C for 7 days + back to 33.5Â°C,47,NA,0.929,no,no,no,NA,NA,0.54,no,GO:0022402,0.605
RSCID.441820.70305,GSE24849,Human CD34+-derived erythoblast (polychromatophilic and orthochromatic) response to co-culture with Plasmodium falciparum 3D7,28,treatment,Infection; Plasmodium falciparum,no infection; reference subject role,22,NHLBI NIH HHS,0.648,no,no,no,0.657,0.667,NA,no,GO:0009725,0.582
RSCID.458033.83634,GSE25014,Gene expression data of endothelium exposed to heme,24,treatment,vehicle,ferric heme; 5 uM,554,NIAID NIH HHS,0.854,no,no,no,0.673,0.838,0.877,no,GO:0051240,0.534
RSCID.457525.73412,GSE25119,Comparison of CD4+ T cells from human fetal and adult donors,21,developmental stage,Adult,Fetal structure,104,NA,0.895,yes,no,no,NA,NA,0.62,no,GO:0006955,0.572
RSCID.457512.73502,GSE25155,Tribbles 3 - a novel regulator of TLR2-mediated signaling in response to Helicobacter pylori lipopolysaccharide,24,cell line,MKN45,HEK-TLR2,1235,NA,0.801,no,no,no,NA,NA,0.824,no,GO:0030054,0.529
RSCID.446662.83543,GSE25487,"Expression of SV40 TAg signature in MDAMB231 cells, tumors, and normal human mammary epithelial cells (M98040 and M99005)",6,cell line,MDAMB231; breast cancer,healthy; CK0082; normal,2072,NA,0.76,no,no,no,NA,NA,0.801,no,GO:0009888,0.521
RSCID.427334.70263,GSE25550,t(11;18)-positive vs. t(11;18)-negative MALT lymphoma,13,disease,t(11;18)-negative,reference subject role,1341,NICHD NIH HHS,0.833,no,no,no,0.594,0.805,0.828,no,GO:0040011,0.527
RSCID.441886.70822,GSE25613,A Novel Pro-Survival Function of Cyclin-D1 Underlies Its Oncogenic Role and Potential as a Therapeutic Target in Human and Murine Mantle Cell Lymphoma,4,cell line,JEKO,G519,1025,NCI NIH HHS,0.777,no,no,no,0.739,0.754,0.776,no,GO:0050776,0.527
RSCID.453233.99111,GSE25746,"Integrated, genome-wide screening for hypomethylated oncogenes in salivary gland adenoid cystic carcinoma",12,cell line,HPAF1,HPAM1,265,NA,0.761,no,no,no,NA,NA,0.831,no,GO:0007267,0.525
RSCID.459549.70142,GSE26104,Search for specific biomarkers of IFN-beta bioactivity in patients with MS,12,timepoint,betaferon; 12 months,baseline participant role,4,NA,0.968,no,no,no,NA,NA,0.75,no,GO:0006952,0.855
RSCID.457400.69955,GSE26339,Expression data from pericardial and subcutaneous adipose tissue and adipocytes,50,organism part,fat cell; adipose tissue; pericardium,fat cell; subcutaneous adipose tissue,12,NHLBI NIH HHS,0.917,no,no,no,0.585,0.886,0.535,no,GO:0006366,0.664
RSCID.439458.70116,GSE26378,Expression data from validation cohort of children with septic shock,103,disease,Septic shock,reference subject role,116,NIGMS NIH HHS,0.915,no,no,yes,0.991,0.943,0.985,yes,GO:0006955,0.579
RSCID.439459.71498,GSE26440,Expression data for derivation of septic shock subgroups,113,disease,septic shock outcome: Survivor,reference subject role,117,NIGMS NIH HHS,0.925,no,no,no,0.984,0.954,0.986,yes,GO:0006955,0.582
RSCID.436349.70039,GSE26459,High-throughput ectopic expression screen for tamoxifen resistance,24,strain,MCF7-G11TamR,MCF7-B7TamS,218,NA,0.799,no,no,no,NA,NA,0.732,no,GO:0045595,0.539
RSCID.459548.69230,GSE26511,Involvement of the TGF-? and ?-catenin pathways in pelvic lymph node metastasis in early stage cervical cancer,39,disease,Cervix carcinoma; metastatic; lymph node,Cervix carcinoma; reference subject role; lymph node,3,NA,0.896,no,no,no,NA,NA,0.496,no,GO:0008285,0.821
RSCID.434599.70316,GSE26599,Gene expression profile in response to doxorubicin-rapamycin combined treatment of HER-2 overexpressing human mammary epithelial cell lines,40,cell line,C5.2,HB4a,580,NA,0.829,no,no,no,NA,NA,0.881,no,GO:0009888,0.533
RSCID.458931.83561,GSE26637,Adipose tissue transcriptome in insulin resistance,20,phenotype,Obesity; Insulin resistance,lean; increased insulin sensitivity; baseline participant role,54,NA,0.934,no,no,no,NA,NA,0.571,no,GO:0006955,0.584
RSCID.459906.102731,GSE26656,Gene expression profiles of Wnt-1 overexpressing melanoma,24,cell line,M24met melanoma cell-line,A375,906,NA,0.801,no,no,no,NA,NA,0.817,no,GO:0040011,0.519
RSCID.427492.70846,GSE26713,Integrated transcript and genome analyses reveal NKX2-1 and MEF2C as potential oncogenes in T-ALL,124,disease,pediatric T-ALL,reference subject role,464,NA,0.864,yes,no,no,NA,NA,NA,no,GO:0006952,0.594
RSCID.459898.102735,GSE26748,Gene expression profiling of cidofovir treatment and resistance in SiHa cells,24,phenotype,resistant to,susceptible toward,219,NA,0.839,yes,no,no,NA,NA,0.684,no,GO:0051270,0.539
RSCID.457025.64918,GSE2677,Prednisolone treated childhood ALL samples,39,disease,precursor B lymphoblastic lymphoma/leukemia,precursor T-lymphoblastic lymphoma/leukemia,715,NA,0.795,no,no,no,NA,NA,0.841,no,GO:0002684,0.547
RSCID.461475.83602,GSE26886,"Gene expression profiling of Barrett's esophagus, adenocarcinoma, esophageal squamous epithelium and squamous cell carcinoma",40,disease,esophagus adenocarcinoma,reference subject role,1030,NA,0.832,yes,no,no,NA,NA,0.835,no,GO:0009888,0.536
RSCID.439489.71511,GSE26906,APC colon stage II,84,organism part,metastasis: LIVER,metastasis: no,1,NA,1,no,no,no,NA,NA,1,no,GO:0035924,0.999
RSCID.434691.69915,GSE26910,Stromal molecular signatures of breast and prostate cancer,24,disease,tumorous,reference subject role,28,NA,0.945,no,no,no,NA,NA,0.735,no,GO:0031012,0.598
RSCID.439499.69909,GSE26966,Identification of Growth arrest and DNA-damage-inducible gene beta (GADD45beta) as a Novel Tumor Suppressor in Pituitary Gonadotrope Tumors,23,disease,Gonadotrope tumor,Hypophysis,1041,NA,0.814,no,no,no,NA,NA,0.809,no,GO:0045595,0.534
RSCID.463750.118397,GSE27041,OXPHOS complex I deficiency leads to transcriptional changes of the Nrf2-Keap1 pathway and selenoproteins.,20,growth condition,Glucose,galactose,1,NA,0.967,no,no,no,NA,NA,0.997,no,GO:0030216,0.999
RSCID.446599.83101,GSE2706,TLR agonists on human dendritic cells,12,timepoint,8 h,0 h,1126,NIAID NIH HHS,0.723,yes,no,no,0.736,0.723,0.699,no,GO:0006952,0.542
RSCID.466700.123761,GSE27120,Characterization and clinical evaluation of CD10+ stroma cells in the breast cancer microenvironment,50,treatment,co-cultured; MDA-MB-361; breast adenocarcinoma,reference subject role,47,NA,0.942,no,no,no,NA,NA,NA,no,GO:0030198,0.582
RSCID.443086.90242,GSE27206,"Global gene expression profiles of iPSC from SMA patient, unaffected father and iPS 19.9 compared to transcriptomic data obtained by corresponding fibroblasts",9,cell type,fibroblast,iPSC,1405,NA,0.813,yes,no,no,NA,NA,0.856,no,GO:0009888,0.527
RSCID.459401.96422,GSE27262,Gene expression profiling of Non-small cell lung cancer in Taiwan,50,disease,Adenocarcinoma,reference subject role,421,NA,0.9,no,no,no,NA,NA,0.962,no,GO:0040011,0.544
RSCID.448955.39292,GSE2748,A molecular classification of papillary renal cell carcinoma,34,phenotype,molecular class type 1,molecular class type 2,95,NA,0.69,no,no,no,NA,NA,NA,no,GO:0055086,0.533
RSCID.459962.99932,GSE27536,Vastus lateralis biopsies from healthy and COPD patients before and after 8 weeks of exercise training,54,treatment,exercise,reference subject role,4,NA,0.987,no,no,no,NA,NA,0.833,no,GO:0030199,0.874
RSCID.428019.73429,GSE27562,Expression data from human PBMCs from breast cancer patients and controls,162,treatment,validation data set,training data set,5,NCI NIH HHS,0.865,no,no,no,0.624,0.629,0.746,no,GO:0098687,0.693
RSCID.439487.68973,GSE27651,The Anterior Gradient Homolog 3 (AGR3) Gene Is Associated with Differentiation and Survival in Ovarian Cancer,28,disease staging,high-grade; ovarian carcinoma; serous,surface epithelium; ovary,652,NCI NIH HHS,0.825,no,no,no,0.812,0.807,0.833,no,GO:0007049,0.544
RSCID.459130.90463,GSE27657,Human subcutaneous adipose tissue and perithyroid adipose tissue gene expression,18,sex,female,male,5,NA,1,no,yes,no,NA,NA,1,no,GO:0060765,0.624
RSCID.434657.69897,GSE27838,Gene expression of expanded and non-expanded natural killer cells from healthy donor and myeloma patients,32,cell type,Non-expanded; natural killer cell,Expanded; natural killer cell,1554,NCRR NIH HHS,0.746,no,no,no,0.549,0.733,0.735,no,GO:0007049,0.547
RSCID.436799.70373,GSE27887,Reversal of Atopic Dermatitis with Narrow-Band UVB Phototherapy and Biomarkers for Therapeutic Response,35,timepoint,After,Before,4,NCRR NIH HHS,0.853,no,no,no,0.692,0.844,NA,no,GO:0045087,0.865
RSCID.459397.75960,GSE27914,"Expression data from LNCap cell line treated with COP1 (RFWD2), ETV1, and JUN siRNAs",14,treatment,control siRNA,COP1 (RFWD2) siRNA,3,NA,0.621,no,no,no,NA,NA,0.488,no,GO:0032436,0.665
RSCID.459157.90495,GSE27916,"Human subcutaneous adipose tissue gene expression (SOS Sib-pair study, offspring cohort)",375,sex,female,male,7,NA,0.934,no,yes,no,NA,NA,0.9,no,GO:0010880,0.583
RSCID.458257.90870,GSE27928,Characterization of gene expression of tumor infiltrating T cells (TILs) in previously untreated patients with follicular lymphoma (FL) compared with those of tonsils,35,organism part,tonsil,lymph node,21,NCI NIH HHS,0.907,no,no,no,0.819,0.86,0.558,no,GO:0006955,0.647
RSCID.458023.83659,GSE28005,Charaterization of the initial molecular events of adipose tissue development and growth during overfeeding in humans,38,phenotype,overweight,lean; reference subject role,100,NA,0.826,no,no,no,NA,NA,0.598,no,GO:0031012,0.558
RSCID.442221.69648,GSE28044,Expression data from non-malignant fallopian tube epithelium,24,timepoint,follicular epithelial cell,luteal cell,4,NA,0.581,no,no,no,NA,NA,0.748,no,GO:0042493,0.746
RSCID.457483.73375,GSE28050,Expression data from knockdown of BACH1 in HEK 293T cells,25,timepoint,72 hrs,24 hrs,1,NA,0.981,no,no,no,NA,NA,1,no,GO:0009649,0.999
RSCID.458479.79397,GSE28133,Transcriptomic analysis of human retinal detachment (RD) reveals both inflammation and photoreceptor death,38,disease,retinal detachment,reference subject role,276,NA,0.825,no,no,no,NA,NA,0.662,no,GO:0006952,0.593
RSCID.458935.83591,GSE28160,Significant Effects of Antiretroviral Therapy on Global Gene Expression in Brain Tissues of Patients with HIV-Associated Neurocognitive Disorders,23,disease,Untreated; HIV-1 associated neurocognitive disorder,reference subject role,196,NINDS NIH HHS,0.866,no,no,no,0.749,0.851,0.867,no,GO:0007267,0.574
RSCID.461771.118181,GSE28238,Low grade gliomas,40,organism part,supratentorial,infratentorial,93,NA,0.771,no,no,no,NA,NA,0.5,no,GO:0097458,0.549
RSCID.458485.79281,GSE28392,Effects of resistance exercise on the transcriptome in MHC I and MHC IIa muscle fibers of young and old women,70,age,young,old,3,NA,0.77,no,no,no,NA,NA,0.663,no,GO:0043679,0.666
